epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.231,1.69673,2.47151,1.77699,0.89821,0.10317,0.30034,0.1516,1.79214,2.87661,1.7142,0.00046676,0.00046676,0.00046676
2,270.733,1.56857,1.84048,1.67262,0.86098,0.3254,0.36785,0.23735,1.51308,1.93197,1.64141,0.000912562,0.000912562,0.000912562
3,380.555,1.54181,1.78077,1.68206,0.76132,0.26984,0.26327,0.09638,2.5535,2.37498,2.75996,0.00132008,0.00132008,0.00132008
4,494.563,1.60345,1.79074,1.68794,0.28253,0.52095,0.40957,0.20573,1.81818,2.46032,1.88909,0.00146896,0.00146896,0.00146896
5,608.705,1.50121,1.68297,1.62158,0.69,0.57768,0.63769,0.299,1.71933,1.78583,1.8044,0.00140295,0.00140295,0.00140295
6,722.907,1.41708,1.55187,1.57353,0.66235,0.66508,0.71043,0.37916,1.487,1.52857,1.63337,0.00133693,0.00133693,0.00133693
7,838.746,1.45968,1.61302,1.62889,0.82955,0.59639,0.71376,0.36509,1.68453,1.57585,1.72301,0.00127092,0.00127092,0.00127092
8,954.718,1.41806,1.49216,1.56945,0.68426,0.66127,0.69041,0.36669,1.69127,1.5198,1.68458,0.00120491,0.00120491,0.00120491
9,1068.88,1.36325,1.44818,1.52214,0.77515,0.6254,0.7316,0.35686,1.77922,1.55217,1.78038,0.00113889,0.00113889,0.00113889
10,1184.62,1.34378,1.39475,1.5185,0.84116,0.62599,0.72414,0.41226,1.44611,1.42514,1.56992,0.00107288,0.00107288,0.00107288
11,1300.08,1.35799,1.38005,1.53274,0.79281,0.71112,0.78837,0.40732,1.58087,1.41473,1.60764,0.00100687,0.00100687,0.00100687
12,1456.65,1.30678,1.33793,1.48661,0.81171,0.75792,0.82055,0.43983,1.4447,1.34197,1.56737,0.000940855,0.000940855,0.000940855
13,1580.02,1.23793,1.30867,1.45031,0.85197,0.73377,0.82756,0.43966,1.47246,1.23007,1.58131,0.000874842,0.000874842,0.000874842
14,1702.63,1.24305,1.24429,1.4437,0.85117,0.78936,0.84401,0.50161,1.34341,1.18142,1.49147,0.000808828,0.000808828,0.000808828
15,1816.92,1.22525,1.2703,1.44407,0.90435,0.7532,0.84725,0.4857,1.35248,1.16964,1.50045,0.000742815,0.000742815,0.000742815
16,1929.92,1.19163,1.33404,1.5097,0.841,0.68334,0.76641,0.40629,1.43838,1.38336,1.57275,0.000676802,0.000676802,0.000676802
17,2045.22,1.16124,1.24655,1.49827,0.9138,0.77338,0.8724,0.50207,1.31829,1.20364,1.45461,0.000610789,0.000610789,0.000610789
18,2161.14,1.10442,1.11507,1.44628,0.9426,0.76079,0.86775,0.50316,1.31501,1.20726,1.43534,0.000544776,0.000544776,0.000544776
19,2276,1.05352,1.05612,1.37247,0.82999,0.85702,0.88833,0.51536,1.37604,1.13492,1.49064,0.000478762,0.000478762,0.000478762
20,2511.72,1.01777,0.99699,1.4115,0.84488,0.83714,0.88054,0.52585,1.32399,1.1038,1.44759,0.000412749,0.000412749,0.000412749
21,2625.24,0.95892,0.9791,1.35232,0.90928,0.80445,0.89735,0.55233,1.2849,1.09482,1.41467,0.000346736,0.000346736,0.000346736
22,2745.69,0.96953,0.99633,1.32281,0.94729,0.79241,0.89177,0.55773,1.25907,1.05672,1.41274,0.000280723,0.000280723,0.000280723
23,2859.93,0.97744,0.95355,1.31575,0.92354,0.81091,0.88228,0.57683,1.26042,1.01659,1.4009,0.00021471,0.00021471,0.00021471
24,2974.27,0.88337,0.89518,1.27303,0.93556,0.81302,0.89646,0.56768,1.25839,0.99531,1.40524,0.000148696,0.000148696,0.000148696
25,3091.48,0.87872,0.91361,1.30908,0.91909,0.8263,0.89751,0.57004,1.25716,1.01107,1.4004,8.26832e-05,8.26832e-05,8.26832e-05
